tconst	averageRating	numVotes
tt0000001	5.7	2058
tt0000002	5.7	276
tt0000003	6.5	2014
tt0000004	5.4	179
tt0000005	6.2	2784
tt0000006	5.1	187
tt0000007	5.4	862
tt0000008	5.4	2200
tt0000009	5.4	211
tt0000010	6.8	7572
tt0000011	5.2	389
tt0000012	7.4	12893
tt0000013	5.7	1968
tt0000014	7.1	5859
tt0000015	6.1	1180
tt0000016	5.9	1580
tt0000017	4.6	347
tt0000018	5.2	628
tt0000019	5.1	32
tt0000020	4.7	382
tt0000022	5.1	1147
tt0000023	5.7	1509
tt0000024	3.8	134
tt0000025	3.8	45
tt0000026	5.6	1610
tt0000027	5.6	1212
tt0000028	5.1	1139
tt0000029	5.9	3522
tt0000030	5.2	897
tt0000031	5.5	1051
tt0000032	5.0	437
tt0000033	5.5	1081
tt0000034	4.9	230
tt0000035	5.6	84
tt0000036	4.4	622
tt0000037	4.5	74
tt0000038	4.2	215
tt0000039	3.7	33
tt0000040	4.1	72
tt0000041	6.7	2001
tt0000042	4.2	39
tt0000043	3.4	33
tt0000044	4.0	50
tt0000045	4.0	34
tt0000046	4.1	36
tt0000047	3.6	38
tt0000048	4.7	217
tt0000049	4.8	53
tt0000050	4.1	35
tt0000051	3.6	36
tt0000052	4.2	115
tt0000053	3.3	19
tt0000054	4.9	35
tt0000055	3.6	31
tt0000056	3.0	23
tt0000057	4.3	36
tt0000058	4.2	34
tt0000059	3.3	28
tt0000060	7.2	91
tt0000061	4.1	33
tt0000062	6.2	207
tt0000063	3.3	29
tt0000064	3.0	30
tt0000065	3.2	30
tt0000066	3.2	30
tt0000067	5.3	79
tt0000068	3.8	32
tt0000069	4.9	510
tt0000070	6.4	2778
tt0000071	3.3	30
tt0000072	3.5	28
tt0000073	3.5	31
tt0000074	4.6	32
tt0000075	6.3	2062
tt0000076	4.5	554
tt0000077	4.5	36
tt0000078	3.6	99
tt0000079	4.5	37
tt0000080	4.0	32
tt0000081	4.1	33
tt0000082	4.8	50
tt0000083	4.6	33
tt0000084	4.3	31
tt0000085	4.7	34
tt0000086	4.1	34
tt0000087	4.7	37
tt0000088	4.2	33
tt0000089	6.2	1055
tt0000090	3.9	32
tt0000091	6.7	4002
tt0000092	4.5	30
tt0000093	4.7	95
tt0000094	4.1	45
tt0000095	4.8	35
tt0000096	4.1	31
tt0000097	4.9	34
tt0000098	5.2	37
tt0000099	4.6	33
tt0000100	4.8	59
tt0000101	4.5	29
tt0000102	4.7	27
tt0000103	5.4	28
tt0000104	5.6	484
tt0000105	5.0	30
tt0000106	4.4	24
tt0000107	5.2	29
tt0000108	4.4	562
tt0000109	4.5	544
tt0000110	4.4	550
tt0000111	4.4	566
tt0000112	4.5	542
tt0000113	4.3	570
tt0000114	5.1	31
tt0000115	4.9	35
tt0000116	5.2	28
tt0000117	5.1	178
tt0000118	4.8	39
tt0000119	5.0	65
tt0000120	4.9	59
tt0000121	4.2	107
tt0000122	5.1	32
tt0000123	5.5	180
tt0000124	5.2	31
tt0000125	4.6	16
tt0000126	5.8	32
tt0000127	4.4	28
tt0000128	5.5	40
tt0000129	6.6	52
tt0000130	5.1	29
tt0000131	5.7	1530
tt0000132	5.1	1136
tt0000133	6.2	36
tt0000134	4.5	22
tt0000135	6.3	86
tt0000137	5.0	36
tt0000138	6.4	1225
tt0000139	5.2	26
tt0000140	4.9	325
tt0000141	5.2	121
tt0000142	4.6	30
tt0000143	5.0	282
tt0000144	5.2	344
tt0000145	3.5	14
tt0000146	5.0	27
tt0000147	5.2	514
tt0000148	3.3	16
tt0000149	4.6	22
tt0000150	5.4	185
tt0000151	4.8	68
tt0000152	6.2	290
tt0000153	5.7	521
tt0000154	3.8	15
tt0000155	5.1	29
tt0000156	3.9	24
tt0000157	3.9	16
tt0000158	3.1	16
tt0000159	5.1	146
tt0000160	5.2	28
tt0000161	3.6	15
tt0000162	5.4	494
tt0000163	5.0	14
tt0000164	5.0	320
tt0000165	4.6	139
tt0000166	3.6	19
tt0000167	4.1	158
tt0000168	2.9	18
tt0000169	3.8	53
tt0000170	5.1	278
tt0000171	3.7	17
tt0000172	6.1	1054
tt0000173	4.6	45
tt0000174	4.5	140
tt0000175	5.0	237
tt0000176	4.7	14
tt0000177	4.6	252
tt0000178	5.2	234
tt0000179	4.6	45
tt0000181	6.6	61
tt0000182	4.8	578
tt0000183	5.9	36
tt0000184	4.8	341
tt0000186	4.5	23
tt0000187	4.9	61
tt0000188	3.6	12
tt0000190	4.7	155
tt0000192	4.5	193
tt0000194	5.4	84
tt0000196	4.7	30
tt0000197	4.2	20
tt0000198	4.3	20
tt0000199	4.0	14
tt0000201	7.0	23
tt0000204	5.6	14
tt0000205	4.8	33
tt0000206	5.1	14
tt0000207	5.4	13
tt0000208	5.7	592
tt0000209	4.9	31
tt0000210	5.0	35
tt0000211	7.4	4747
tt0000213	4.7	266
tt0000214	4.2	107
tt0000215	4.0	137
tt0000218	5.9	714
tt0000219	6.6	31
tt0000222	4.6	258
tt0000223	5.4	19
tt0000225	4.9	38
tt0000228	4.9	307
tt0000229	4.5	119
tt0000230	6.5	1816
tt0000231	3.4	21
tt0000234	6.3	76
tt0000235	6.3	972
tt0000239	5.5	282
tt0000240	4.5	96
tt0000242	6.4	1356
tt0000245	6.3	52
tt0000246	6.4	1099
tt0000247	4.9	528
tt0000248	6.1	1702
tt0000251	5.2	163
tt0000253	4.2	28
tt0000256	4.8	182
tt0000261	5.4	77
tt0000264	5.7	487
tt0000265	4.4	157
tt0000269	4.7	144
tt0000271	6.3	13
tt0000272	5.6	905
tt0000273	5.5	683
tt0000274	5.6	289
tt0000276	6.8	33
tt0000277	6.2	75
tt0000278	6.0	23
tt0000279	4.1	26
tt0000280	4.4	26
tt0000281	4.5	24
tt0000283	5.8	19
tt0000284	5.3	253
tt0000285	5.3	29
tt0000286	5.7	296
tt0000287	4.9	172
tt0000288	5.2	217
tt0000292	5.2	108
tt0000296	5.8	259
tt0000299	5.7	304
tt0000300	6.9	1420
tt0000301	4.4	457
tt0000302	5.2	275
tt0000304	6.0	1378
tt0000306	5.3	259
tt0000307	5.0	97
tt0000308	5.2	133
tt0000309	6.1	977
tt0000310	7.4	36
tt0000313	5.8	842
tt0000318	5.5	13
tt0000319	5.7	273
tt0000321	4.8	238
tt0000328	5.5	16
tt0000335	5.8	57
tt0000337	4.9	382
tt0000340	4.9	334
tt0000341	4.9	395
tt0000346	4.7	243
tt0000347	4.4	123
tt0000349	5.5	145
tt0000350	5.7	784
tt0000352	5.3	65
tt0000353	5.1	387
tt0000355	6.2	794
tt0000357	5.8	507
tt0000358	6.2	785
tt0000359	7.1	3190
tt0000361	7.4	27
tt0000363	6.2	198
tt0000364	5.5	175
tt0000368	6.6	22
tt0000370	5.6	596
tt0000373	6.4	117
tt0000376	5.9	22
tt0000377	6.1	142
tt0000379	4.1	14
tt0000380	6.8	29
tt0000381	3.6	28
tt0000384	5.8	377
tt0000387	5.1	427
tt0000388	5.2	146
tt0000399	6.1	804
tt0000400	5.8	18
tt0000402	6.2	12
tt0000406	5.7	47
tt0000407	3.8	44
tt0000409	5.1	277
tt0000410	6.7	1100
tt0000412	4.4	29
tt0000413	5.5	500
tt0000414	5.4	806
tt0000416	5.4	199
tt0000417	8.1	55921
tt0000420	6.2	2893
tt0000422	5.0	10
tt0000423	5.5	257
tt0000425	4.9	26
tt0000426	4.0	22
tt0000430	5.9	732
tt0000432	5.7	257
tt0000436	6.1	555
tt0000437	5.1	303
tt0000439	7.3	21040
tt0000440	5.4	249
tt0000441	7.2	12
tt0000442	4.7	107
tt0000446	4.8	26
tt0000447	6.4	2714
tt0000451	6.5	1042
tt0000452	4.5	121
